level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
1171,2028,Marsala,1700,37.8,12.433,2.6390573296152584,1,-0.0,0,0,0,0,11.312,15.516286,363,5
1172,2029,Marsala,1800,37.8,12.433,2.772588722239781,4,1.6094379124341005,0,0,0,0,19.583,67.204862,363,6
1173,2030,Marseille,1200,43.3,5.4,3.2188758248682006,3,1.3862943611198906,0,0,1,1,5.0106,60.761033,364,0
1174,2031,Marseille,1400,43.3,5.4,3.044522437723423,1,-0.0,0,0,1,1,5.1728,21.38764,364,2
1175,2032,Marseille,1500,43.3,5.4,3.8066624897703196,9,2.772588722239781,0,0,1,1,6.8643,179.905655,364,3
1176,2033,Marseille,1600,43.3,5.4,3.8066624897703196,31,3.6280156368701606,0,0,1,1,10.583,602.807856,364,4
1177,2034,Marseille,1700,43.3,5.4,4.499809670330265,153,5.124797636911906,0,0,1,1,13.112,2783.609838,364,5
1178,2035,Marseille,1800,43.3,5.4,4.61512051684126,345,5.823450200069098,0,0,1,1,20.409,6510.530379,364,6
1179,2036,Martina Franca,1500,40.7,17.333,1.6094379124341003,1,-0.0,0,0,0,0,5.9316,15.428953,365,3
1180,2037,Martina Franca,1600,40.7,17.333,2.1972245773362196,2,0.6931471805599453,0,0,0,0,10.809,34.98553,365,4
1181,2038,Martina Franca,1700,40.7,17.333,2.0794415416798357,3,1.0986122886681096,0,0,0,0,10.632,63.73769,365,5
1182,2039,Martina Franca,1800,40.7,17.333,2.4849066497880004,6,1.7917594692280547,0,0,0,0,18.965,98.69074,365,6
1183,2040,Martos,1800,37.717,-3.967,2.3978952727983707,3,1.3862943611198906,0,0,0,0,18.673,60.917,366,6
1184,2044,Mascali,1800,37.75,15.2,2.6390573296152584,15,2.772588722239781,0,0,0,0,20.709,263.353808,367,6
1185,2049,Mataro,1800,41.533,2.45,2.302585092994046,50,4.280520263906446,0,0,0,0,20.356,945.972155,368,6
1186,2050,Matera,1500,40.667,16.6,2.302585092994046,5,2.079441541679836,0,0,0,0,5.9895,94.065814,369,3
1187,2051,Matera,1600,40.667,16.6,2.70805020110221,7,1.9061547465398496,0,0,0,0,11.601,119.861889,369,4
1188,2053,Matera,1800,40.667,16.6,2.4849066497880004,18,2.9264175554979968,0,0,0,0,20.357,304.154328,369,6
1189,2055,Mazzarino,1600,37.3,14.217,1.791759469228055,1,1.0986122886681096,0,0,0,0,11.848,21.326708,370,4
1190,2056,Mazzarino,1700,37.3,14.217,2.0794415416798357,1,-0.0,0,0,0,0,12.117,17.353153,370,5
1191,2057,Mazzarino,1800,37.3,14.217,2.3978952727983707,7,1.7478680974667573,0,0,0,0,21.58,119.836349,370,6
1192,2059,Mechelen (Malines),1400,51.033,4.467,2.5649493574615367,4,1.3862943611198906,0,0,1,0,8.0285,88.632868,371,2
1193,2060,Mechelen (Malines),1500,51.033,4.467,3.2188758248682006,59,4.218903853969393,0,0,1,0,11.745,1217.29006,371,3
1194,2061,Mechelen (Malines),1600,51.033,4.467,2.3978952727983707,38,3.5271692775575607,0,0,1,0,16.868,729.503484,371,4
1195,2062,Mechelen (Malines),1700,51.033,4.467,2.995732273553991,19,2.718473401330013,0,0,1,0,24.209,324.429911,371,5
1196,2063,Mechelen (Malines),1800,51.033,4.467,2.995732273553991,40,3.582053865441816,0,0,1,0,32.702,737.800466,371,6
1197,2065,Mecklenburg,1400,53.85,11.467,2.3978952727983707,4,1.6094379124341005,0,0,0,0,4.473,71.384957,372,2
1198,2073,Medina de rio Seco,1500,41.883,-5.033,2.772588722239781,19,3.044522437723422,0,0,0,0,5.9444,365.626403,373,3
1199,2074,Medina de rio Seco,1600,41.883,-5.033,2.4849066497880004,9,2.3978952727983707,0,0,0,0,8.8424,164.7903,373,4
1200,2075,Medina de rio Seco,1700,41.883,-5.033,1.9459101490553132,2,1.3862943611198906,0,0,0,0,8.7449,38.541723,373,5
1201,2076,Medina de rio Seco,1800,41.883,-5.033,1.6094379124341003,15,2.890371757896165,0,0,0,0,14.916,267.235507,373,6
1202,2077,Medina del Campo,1300,41.3,-4.917,2.995732273553991,1,1.0986122886681096,0,0,0,0,5.4521,26.774137,374,1
1203,2078,Medina del Campo,1400,41.3,-4.917,2.302585092994046,19,3.756992768967261,0,0,0,0,4.3386,483.582051,374,2
1204,2079,Medina del Campo,1500,41.3,-4.917,3.044522437723423,31,3.571826173435832,0,0,0,0,6.0464,608.245129,374,3
1205,2080,Medina del Campo,1600,41.3,-4.917,2.1972245773362196,6,2.302585092994045,0,0,0,0,9.4604,113.510358,374,4
1206,2087,Melfi,1600,41.0,15.65,2.302585092994046,15,2.685945324669788,0,0,0,1,11.181,253.475766,375,4
1207,2088,Melfi,1700,41.0,15.65,2.1972245773362196,23,3.204777524132256,0,0,0,1,11.559,397.887888,375,5
1208,2089,Melfi,1800,41.0,15.65,2.0794415416798357,67,4.196163489344175,0,0,0,1,21.071,1199.110846,375,6
1209,2090,Merida (Marida),1300,38.917,-6.333,2.4849066497880004,1,1.0986122886681096,0,0,1,0,5.0863,23.160086,376,1
1210,2092,Merida (Marida),1500,38.917,-6.333,2.302585092994046,10,2.3978952727983707,0,0,1,0,5.259,190.041141,376,3
