city,year,longitude,latitude,Influ_diversity,Influ_num_people_divide
Falaise,1200,-0.2,48.9,41.50688142032047,6.119263265304892
Ferrara,1200,11.583,44.833,30.292138505272284,1.6563419364735041
Firenze,1200,11.25,43.767,45.46620790098169,0.8765506527448585
Flensburg,1200,9.433,54.783,16.864522312002904,5.153063802362014
Forli,1200,12.053,44.224,36.823855977279926,1.0169803165508102
Fossano,1200,7.717,44.55,22.834309990622355,2.6194740995340235
Galway,1200,-9.049,53.272,29.185701866161683,3.9363681823598715
"Geneve (Geneva, Genf)",1200,6.167,46.2,39.96900692448583,7.144020271456428
Genova,1200,8.95,44.417,23.076231502345838,2.0504899713565514
Gerona (Djarunda),1200,2.817,41.983,36.26192618389174,2.4019926433590677
Gibraltar,1200,-5.353,36.143,17.768546870850503,0.8695795166485898
Glasgow,1200,-4.245,55.862,31.7185834260476,4.508930827066761
"Goeteborg, (Loedoense, Gothenburg)",1200,11.967,57.717,25.748795747428158,4.508930827066761
Goslar,1200,10.433,51.9,25.748795747428158,5.797196777657267
Gotha,1200,10.717,50.95,28.079265227051078,3.895470850595094
Granada (Gharnata),1200,-3.6,37.183,15.758085672892305,1.470770293590825
Gravina,1200,16.417,40.817,17.768546870850503,2.7053584962400574
Grenoble,1200,5.717,45.167,37.054521167680015,7.144020271456428
Groningen,1200,6.55,53.217,21.969794863235233,4.508930827066761
Gualdalajara,1200,-3.17,40.63,25.40510513555481,3.3770971704765342
Haarlem,1200,4.65,52.367,44.02690751280534,4.3248928341252615
Halberstadt,1200,11.05,51.9,30.08972642500928,4.539603825890345
Halle,1200,12.0,51.5,32.10018762296749,5.827869776480848
Hannover,1200,9.717,52.367,27.17524066820348,7.085462728247769
Heidelberg,1200,8.72,49.42,42.99492225635096,1.848354909109137
Hildesheim,1200,9.967,52.15,19.194991791625828,5.797196777657265
Hinojosa-del-Duque,1200,-5.15,38.5,24.642359108317564,0.8588439670603354
Hondschoote,1200,2.583,50.983,41.18687313865575,2.280230732545191
Huesca,1200,-0.417,42.133,39.41833345242103,3.3786308204177136
Hull,1200,-0.339,53.75,23.89847524079957,9.726407926958302
Ipswich,1200,1.158,52.056,38.250300898055244,7.821614700013772
Issoudin,1200,2.0,46.95,43.16002862995246,7.133176281973344
Jerez de la Frontera (Sharish),1200,-6.133,36.683,19.194991791625828,2.7160940458283114
Jihlava (Iglau),1200,15.583,49.4,35.07008666424428,3.7145001575359506
Kassel,1200,9.5,51.317,29.185701866161683,5.206741550303285
"Kerkira (Corfu, Corfou, Kerkyra)",1200,19.93,39.6,23.21591418754224,2.640945198710532
Kilkenny,1200,-7.252,52.654,30.292138505272284,3.2922352070646204
Kilmallock,1200,-8.577,52.4,31.7185834260476,3.9363681823598715
King's Lynn,1200,0.394,52.758,28.601685588978796,3.95681684824226
Klagenfurt,1200,14.305,46.625,32.181317011503,3.3740298705941756
"Kobenhaven (Copenhagen, Kopenhagen)",1200,12.583,55.667,29.950043739812884,4.508930827066761
Koeln,1200,6.95,50.933,17.768546870850503,3.2464301954880685
"Korinthos (Corinth, Corinthe, Goerdes)",1200,22.93,37.93,17.768546870850503,2.640945198710532
Krakow (Krakau),1200,19.917,50.083,34.90560679707362,7.085462728247769
La Rochelle,1200,-1.15,46.167,38.550902472310355,3.4905872661237924
Lanciano,1200,14.383,42.233,24.502676423121155,5.797196777657265
Laon,1200,3.617,49.567,34.04905290567053,3.5476111593912725
Laval,1200,-0.767,48.067,41.49682200265338,5.238948199068047
Le Mans,1200,0.2,48.0,48.37063424012043,5.915287823128062
Le Puy (- en Velay),1200,3.88,45.03,31.71858342604761,4.072001466202151
Lecce,1200,18.183,40.383,21.20545298958403,2.1256388184743304
Leeds,1200,-1.537,53.806,25.908936438757774,9.726407926958302
Leipzig,1200,12.333,51.3,20.30142843073643,3.895470850595094
Leon (Liyun),1200,-5.567,42.6,18.532888744501708,2.640945198710532
"Leuven (Loewen, Louvain)",1200,4.7,50.883,43.98992932040224,7.2142893233068195
"Liege (Luik, Luettich)",1200,5.567,50.633,45.41637424117756,6.901424735306268
Lille (Rijssel),1200,3.067,50.633,29.185701866161683,3.993624446830561
Limoges,1200,1.25,45.85,43.900080295009985,10.522372246430288
Linz,1200,14.3,48.3,23.6529316689331,2.4262342069454483
"Lisboa (Lisbon, Lissabon, Al Ushbuna)",1200,-9.133,38.717,33.044855093087,1.33120814894352
Lisieux,1200,0.233,49.15,50.66451014100641,5.002766108126455
Llucera,1200,15.333,41.5,28.52359881903757,4.0150955460070685
Lodi,1200,9.5,45.317,26.03650248329168,3.993624446830561
Loja (Lawsha),1200,-4.15,37.167,20.301428430736433,0.8695795166485895
London,1200,-0.105,51.517,52.581941650172226,13.526792481200285
Lucca,1200,10.483,43.833,43.48664030709722,1.070971537801508
Lueneburg,1200,10.4,53.25,16.864522312002904,5.153063802362014
Luneville,1200,6.5,48.6,17.76854687085051,1.6599545341127264
Lyon,1200,4.85,45.75,40.171419004748834,8.373728678838273
Maastricht,1200,5.683,50.85,50.20163851074518,5.741985379774815
Macon,1200,4.833,46.3,46.141206683368274,9.720552172637436
Madrid (Madjrit),1200,-3.683,40.4,23.3946439375966,2.0888312198860306
Mainz,1200,8.273,49.998,40.984461058392746,2.3894266083571485
Malaga (Malaka),1200,-4.417,36.717,27.17524066820348,2.759036244181328
Manresa,1200,1.833,41.733,28.281677307314084,2.208752750770492
Mantua,1200,10.8,45.15,26.652820306275764,0.34479548960417195
Marseille,1200,5.4,43.3,33.72904462400581,1.6995200809713178
Matera,1200,16.6,40.667,15.758085672892301,2.7053584962400574
Mechelen (Malines),1200,4.467,51.033,48.27849509912184,6.901424735306268
Melfi,1200,15.65,41.0,17.62886418565411,4.508930827066761
Merida (Marida),1200,-6.333,38.917,24.642359108317564,1.4600347440025705
Messina,1200,15.567,38.183,10.31071835620057,2.619474099534023
Metz,1200,6.167,49.133,21.20545298958403,3.89056317078332
Milano,1200,9.2,45.467,20.30142843073643,5.196006000715031
Mistretta,1200,14.37,37.93,30.38122093792293,4.058037744360085
Mondovi,1200,7.817,44.383,24.84477118858056,2.6194740995340235
Mons (Bergen),1200,3.933,50.45,31.516171345784603,4.3248928341252615
Montpellier,1200,3.883,43.6,32.82502006515821,1.1335461689314952
Monza,1200,9.267,45.583,30.579845241135807,3.6071446616534106
Muenchen,1200,11.583,48.15,42.82189676603647,2.039754421768297
Muenster,1200,7.633,51.967,26.652820306275757,3.3129906029352445
Murcia (Mursiya),1200,-1.117,37.983,20.30142843073643,1.4203957916767087
Namur (Namen),1200,4.867,50.467,44.42136717712628,4.4537194291843125
Nancy,1200,6.2,48.683,21.20545298958403,4.5585529229413595
Nantes,1200,-1.55,47.217,36.88253603981155,5.238948199068047
Narbonne,1200,3.0,43.183,19.397403871888823,2.323833580103639
Nevers,1200,3.167,46.983,42.613318059431066,13.59120577872981
Newcastle-upon-Tine,1200,-1.602,54.974,14.33164075211698,2.640945198710532
Newry,1200,-6.33,54.18,21.20545298958403,3.2922352070646204
Nijmegen,1200,5.867,51.833,32.100187622967496,3.9936244468305606
Nimes,1200,4.35,43.833,39.69883230262525,0.6302593419812001
Niort,1200,-0.45,46.3,27.133747476999186,2.2023213155332892
Norwich,1200,1.303,52.628,34.81339477932171,8.373728678838274
Nottingham,1200,-1.159,52.968,14.33164075211698,2.640945198710532
Novara,1200,8.633,45.467,31.102265603063536,5.8830811743633
Nuernberg,1200,11.083,49.45,29.074272291102364,1.7176879341206712
Olomouc (Olmuetz),1200,17.25,49.583,34.90560679707362,5.518072488362657
Orleans,1200,1.9,47.917,57.402138673282465,13.64097969045717
Otranto,1200,18.5,40.15,26.652820306275757,2.7053584962400574
Oxford,1200,-1.254,51.754,42.66810764909657,3.446111417829597
Padova (Padua),1200,11.883,45.417,18.753700818233614,1.401508183621006
Palermo (Balarm),1200,13.367,38.117,17.18453059366762,5.153063802362014
Palma,1200,2.65,39.567,29.185701866161683,2.794546138973246
Paris,1200,2.333,48.867,20.987821686454225,0.8636153224328927
Parma,1200,10.333,44.8,29.769718143344576,2.9565703566052055
Passau,1200,13.483,48.583,45.88731807411293,7.665182406013496
Pavia,1200,9.167,45.167,20.589135166599952,4.5948152237727955
Perth,1200,-3.434,56.396,25.748795747428158,3.86479785177151
Perugia,1200,12.367,43.133,44.832357963994674,8.13754658789668
Piacenza,1200,9.667,45.017,24.610057562516364,1.571684459720414
Pisa,1200,10.383,43.717,43.03556516762286,0.9164255512155169
Pistoia,1200,10.9,43.917,49.69834949744015,1.2048173508498723
Plymouth,1200,-4.146,50.388,43.03556516762286,9.017861654133524
Poitiers,1200,0.333,46.583,38.55090247231036,4.627021872537558
Porto (Oporto),1200,-8.617,41.15,58.13154779339105,3.574938012888647
Portsmouth,1200,-1.07,50.809,60.19473300822358,9.887441170782113
Poznan (Posen),1200,16.967,52.417,29.622719347552543,3.6071446616534097
"Praha (Prag, Prague)",1200,14.467,50.083,22.834309990622355,5.153063802362014
Prato,1200,11.1,43.883,51.01581404420051,0.8121373552153337
Provins,1200,3.3,48.55,58.34567266359056,3.3182607818240246
Putignano,1200,17.117,40.85,21.20545298958403,2.7053584962400574
Quedlinburg,1200,11.15,51.783,21.20545298958403,3.8954708505950935
Reading,1200,-0.971,51.455,54.74736569153186,8.599175220191611
Regensburg,1200,12.1,49.017,42.18082433519441,6.3554453562464825
Reims,1200,4.033,49.25,42.271223293971666,2.2222587647686187
Rennes,1200,-1.683,48.083,46.94418931934511,7.815480100249054
Roma,1200,12.483,41.9,49.64905600709951,13.558999129965049
Rouen,1200,1.083,49.433,30.928510483663594,2.12173498226042
Salerno,1200,14.783,40.683,26.513137621079355,4.508930827066761
Saluzzo,1200,7.483,44.65,35.73950582196402,5.153063802362014
Santander,1200,-3.804,43.465,36.88545189253511,2.7053584962400574
Santiago (Shant Yacub),1200,-8.55,42.883,46.714392798079864,1.964605574650518
Sarajevo (Aquae Sulphurae),1200,18.383,43.85,40.352974113765335,5.926023372716315
Savona,1200,8.5,44.283,18.532888744501708,1.4922413927673333
Segovia (Shakubiya),1200,-4.117,40.95,28.842011254288334,3.3770971704765333
"Sevilla(Seville, Ishbiliya)",1200,-5.987,37.377,30.08972642500928,2.801978442534345
"Shkoder (Scodra, Ishkodra)",1200,19.513,42.068,17.768546870850503,2.640945198710532
Shrewsbury,1200,-2.748,52.707,30.71438561346408,8.373728678838273
Siena,1200,11.35,43.317,41.02510396966466,0.8627478032742462
Soest,1200,8.117,51.583,28.079265227051078,5.191711780879729
Speyer,1200,8.432,49.321,42.99492225635096,2.4495456860513714
Spoleto,1200,12.733,42.733,40.550760235749124,2.636344248886995
St-Jean-d'Angely,1200,-0.517,45.95,38.550902472310355,3.4905872661237924
Stralsund,1200,13.1,54.3,19.779008068808718,5.153063802362014
Strasbourg (Strassburg),1200,7.75,48.583,38.97399986043454,2.9691462861228746
Stuttgart,1200,9.183,48.767,28.079265227051085,1.5520537404733208
Szekesfehervar (Stuhlweissenburg),1200,18.417,47.2,35.537093741701014,2.94154058718165
Toledo,1200,-4.017,39.867,8.884273435425252,4.508930827066761
Torino,1200,7.667,45.05,27.759256945386372,4.551873025419778
Toulouse,1200,1.433,43.6,29.388113946424685,2.8528857260657436
Tournai (Doornik),1200,3.383,50.6,34.63306918285341,3.439670088076644
Tours,1200,0.683,47.383,57.94830634419918,6.0671191673048
Treviso,1200,12.245,45.667,20.76416201619182,0.8539951546200416
Trier,1200,6.633,49.75,23.215914187542232,4.53278760392955
Troyes,1200,4.083,48.3,36.05951410362873,3.612024456920797
Ulm,1200,10.05,48.567,32.942616266559924,2.619474099534023
Valencia (Balansiya),1200,-0.367,39.467,34.68785877251891,2.723762295534207
Velletri,1200,12.783,41.683,54.9733834930698,10.81683303513669
Venezia,1200,12.327,45.439,14.331640752116984,2.0767324259056172
Vercelli,1200,8.417,45.317,18.010157684914084,7.160611575365548
Verona,1200,11.0,45.45,18.874983509961115,1.0139130166684518
Verviers,1200,5.867,50.583,38.542562003710515,5.951788691728126
Vienne,1200,4.867,45.517,37.958545726527625,5.855754320865923
Vigevano,1200,8.85,45.317,38.599292851514036,7.858422298602072
Villefranche-de-Rouergue,1200,2.05,44.35,33.58936193880941,2.9495056723600315
Vinaroz,1200,0.483,40.467,46.10501376783009,3.5000251119156642
Viterbo,1200,12.1,42.417,65.03503677260335,11.138899522784317
Vitoria,1200,-2.667,42.85,34.687858772518915,3.3464241716529504
Wien (Vienna),1200,16.367,48.2,28.554214921534278,7.729595703543021
Winchester,1200,-1.308,51.062,47.4766690989399,10.434954199783078
Worcester,1200,-2.212,52.197,43.697668214746976,12.238526530609782
Worms,1200,8.36,49.636,38.97399986043454,2.400468887933638
Wuerzburg,1200,9.949,49.797,36.37952238529345,3.6715579591829344
York,1200,-1.093,53.956,23.89847524079957,10.306127604724027
Zamora,1200,-5.75,41.5,21.789469266766922,3.349491471535309
"Zaragoza (Sarakusta, Saragossa)",1200,-0.883,41.633,35.933978096825925,4.533705172270426
Zuerich,1200,8.55,47.367,36.36272083294748,7.021049430718244
lorient,1200,-3.37,47.75,11.417154995311172,4.508930827066761
s Gravenhage,1200,4.3,52.083,29.185701866161683,2.4182592272513164
Abbeville,1300,1.833,50.1,0.30950037708366884,0.11636022403750633
Acireale,1300,15.167,37.617,0.330573994963423,0.47208670884517906
Agen,1300,0.633,44.2,0.6341415019639008,1.002488084015439
Aix,1300,5.433,43.533,0.412065575956851,0.21741182909980628
Albi,1300,2.15,43.933,0.5423032350656469,1.1726966223442636
Alcala-la-Real,1300,-3.933,37.467,0.3919640702559759,0.37227009427573327
Alcoy,1300,-0.467,38.7,0.3883445940391549,0.06200134795142597
Alessandria,1300,8.617,44.9,0.4527468175565429,1.802267180454227
Altona,1300,9.933,53.55,0.34325830733380214,0.24251366150079373
Amalfi,1300,14.6,40.633,0.44150240849995487,0.3125404026636369
Amiens,1300,2.3,49.9,0.45278071276286574,0.6361376591950912
Ancona,1300,13.5,43.633,0.8294824177218636,3.6062354153496563
Andria,1300,16.283,41.217,0.2858700338043753,0.6191838165977711
Angouleme,1300,0.15,45.65,0.373666183746309,0.37445878432341406
Ansbach,1300,10.583,49.3,0.5653041150065482,0.35668357543877055
"Antwerpen (Anvers, Antwerp)",1300,4.417,51.217,0.540543533542989,0.1852637292518728
Aquila (L'Aquila),1300,13.37,42.35,0.6935996643101231,3.361283575816472
Arezzo,1300,11.883,43.417,0.9800297275203431,0.22576729588420438
Arjona,1300,-4.05,37.933,0.15563237469557945,0.37168039540278297
Arles,1300,4.633,43.667,0.6153093017196177,0.19108598655738399
Arpino,1300,13.6,41.65,0.44552967771220153,1.0017509604242514
Arras (Atrecht),1300,2.783,50.283,0.37210585241582267,0.30386340496165454
Ascoli Piceno,1300,13.567,42.85,0.6738323022972251,3.1954307677992118
Asti,1300,8.2,44.9,0.4090137200383846,1.1676037684415115
Augsburg,1300,10.883,48.367,0.5833219524560299,0.602967097591639
Augusta,1300,15.217,37.217,0.20869955051797678,0.38363187790264036
Auxerre,1300,3.567,47.8,0.6171852335720088,0.178426030415521
Aversa,1300,14.2,40.967,0.3366594649779425,0.30165365423993984
Baeza (Bayyasa),1300,-3.467,37.983,0.2797442485966617,0.3654658765109226
Bamberg,1300,10.867,49.867,0.6474877591186702,0.864119455612468
Barbastro,1300,0.133,42.033,0.5622483345762759,0.42247712112079217
Barcelona (Barshaluna),1300,2.183,41.383,0.2858700338043753,0.424583188524186
Basel,1300,7.6,47.567,0.5387562486282537,0.6516172546100355
Bassano,1300,11.73,45.77,0.759384179333843,0.5451651204021315
Bath,1300,-2.366,51.378,0.45786761510776464,0.661936984886665
Bayonne,1300,-1.483,43.483,0.44247345236935787,0.4017323571973635
Beauvais,1300,2.083,49.433,0.6982708086297995,0.8084097606578956
Bergamo,1300,9.717,45.683,0.35433699098455296,0.1587272799691112
Bergen,1300,5.325,60.391,0.24245748076811005,0.36946902462921954
Bern,1300,7.467,46.917,0.623500542651721,0.7540774337851429
Besancon,1300,6.033,47.25,0.3691481534395127,1.3268224641380812
Beziers,1300,3.25,43.35,0.4433247830621047,0.4854166263700936
Bilbao,1300,-2.967,43.25,0.4668971240867384,0.4114202672529748
Blois,1300,1.333,47.583,0.6652957507054861,3.3496861646484506
Bologna,1300,11.333,44.483,0.7333651028551971,0.16190149639049417
Bonn,1300,7.1,50.733,0.37398654799968817,0.3147294363586795
Bordeaux,1300,-0.567,44.833,0.24501420616764946,0.29779793083988043
Boulogne,1300,1.62,50.72,0.44711491432976663,0.6335050749408488
Braga,1300,-8.433,41.55,0.4911083854378691,0.3259139306751874
Braunschweig,1300,10.533,52.267,0.043412553036265275,0.21548579649057356
Bremen,1300,8.8,53.083,0.11221982165931413,0.21548579649057356
Brescia,1300,10.25,45.55,0.581627906313915,0.16046957209373694
Bruxelles (brussels),1300,4.333,50.833,0.4257669864841356,0.16147342668137957
Buda,1300,19.033,47.5,0.5254888290844012,0.6545657489747868
Burgos (Burghush),1300,-3.7,42.35,0.349250733297891,0.5448817586060386
Caen,1300,-0.35,49.183,0.231038485674488,0.2061699583428951
Cahors,1300,1.433,44.433,0.3866708603700674,0.5854867381434709
Caltanisetta,1300,14.067,37.483,0.37398654799968817,0.3016766988277351
Carcassonne,1300,2.35,43.217,0.32524046988432037,0.49334628924499296
Cartagena (Kartadjanna),1300,-0.983,37.6,0.3743688735459935,0.12693302604990495
Casale,1300,8.45,45.133,0.4273521019697593,1.6430484847576574
Castellon-de-la-Plana,1300,-0.033,39.983,0.3743688735459934,0.2999869645349231
Castres,1300,2.25,43.6,0.38007201801420776,0.2360231446848802
Catania,1300,15.1,37.5,0.20869955051797678,0.534005090504956
Ccuneo,1300,7.533,44.383,0.43605279242380013,0.5815905134471923
Chalon-sur-saone,1300,4.85,46.783,0.5333406753982087,0.6258179289184617
Chalons-sur-Marne,1300,4.367,48.95,0.5641180577496114,0.16073506422701328
Chambery,1300,5.9,45.6,0.4595202459494365,0.7474433214644524
Chartres,1300,1.5,48.45,0.7881516951326025,0.84421290651559
Chatham,1300,0.535,51.361,0.42942758463922975,0.4637560422273102
Cherbourg,1300,-1.65,49.65,0.5122369391841508,0.6191838165977711
Chieti,1300,14.167,42.35,0.704534452117086,2.9300662749715958
Chivasso,1300,7.883,45.183,0.5157839256215442,1.094628532913917
Clermont-Ferrand,1300,3.083,45.783,0.47029293992996146,3.6310708101912157
"Cluj (Klausenburg, Napora)",1300,23.6,46.767,0.736851447430501,1.1851543301364598
Coimbra Kulumriyya),1300,-8.417,40.2,0.46381759306230014,0.6322414344988126
Colchester,1300,0.9,51.892,0.44084657973285185,0.6348335174568359
Colmar,1300,7.367,48.083,0.5067626906856105,1.2973375204905684
Como,1300,9.083,45.783,0.48424456308073094,1.1897174761771463
Cosenza,1300,16.25,39.3,0.3178635917470186,0.5340050905049563
Coventry,1300,-1.508,52.403,0.4007033864625194,1.41527729508062
Crema,1300,9.683,45.367,0.47655174687287044,0.19902336962071218
Cremona,1300,10.033,45.117,0.4443559159899308,0.2238622009358897
Cuenca (Kunka),1300,-2.133,40.067,0.5833439405484127,0.7387510069086272
Dessau,1300,12.25,51.833,0.32091937217729094,0.4747075927249581
Dover,1300,1.309,51.125,0.38262874341374714,0.7202750519606727
Dresden,1300,13.75,51.05,0.3866708603700674,0.22703406608584947
Drogheda,1300,-6.35,53.717,0.2744510387107532,0.4663981995152042
Dublin,1300,-6.25,53.333,0.2998457542975368,0.6191838165977711
Dudley,1300,-2.096,52.512,0.4441159394987848,1.3341937000499593
"Durres (Dyrrachium, Durazzo)",1300,19.433,41.317,0.19904492773184476,0.535643142929818
Edinburgh,1300,-3.161,55.949,0.043412553036265275,0.4422741547126937
Elberfeld,1300,7.133,51.267,0.3389372096267727,0.38084718878037516
Erfurt,1300,11.033,50.983,0.4381523546623284,1.004945162652732
Faenza,1300,11.883,44.283,0.7361344773766549,0.170537457946604
Ferrara,1300,11.583,44.833,0.6730071282862089,0.15904638109083752
Firenze,1300,11.25,43.767,0.8827111466848174,0.23818473568345438
Flensburg,1300,9.433,54.783,0.29984575429753685,0.15405883055825495
Foggia,1300,15.57,41.45,0.3178635917470186,0.5307289856552325
Forli,1300,12.053,44.224,0.7361344773766549,0.19581026678732935
Francavilla,1300,17.583,40.533,0.25643320126127156,0.70763864754031
Freiberg,1300,13.367,50.917,0.5953704108880442,0.47765608708970925
Freiburg,1300,7.85,48.0,0.6509760702875678,1.2531101050192988
Gaeta,1300,13.583,41.2,0.5971199354514607,1.6216719006132103
Gdansk (Danzig),1300,18.667,54.35,0.42348457105047305,0.47618183990733365
"Geneve (Geneva, Genf)",1300,6.167,46.2,0.6088670669454987,1.2096198131392173
Genova,1300,8.95,44.417,0.37462240193805313,0.3250715037138299
"Gent (Gand, Ghent)",1300,3.717,51.05,0.3686530229205857,0.15655926940679407
Gerona (Djarunda),1300,2.817,41.983,0.32829625031459275,0.2144359538000939
Gibraltar,1300,-5.353,36.143,0.38262874341374714,0.27651962984092526
Glasgow,1300,-4.245,55.862,0.2998457542975368,0.6191838165977711
Goslar,1300,10.433,51.9,0.3259325330030142,0.8285269164951129
Gotha,1300,10.717,50.95,0.4488792866372567,0.9223873204396958
Granada (Gharnata),1300,-3.6,37.183,0.29116324369028385,0.46013522634532183
Graz,1300,15.45,47.067,0.5623905164193532,0.5774836820105743
